クラス名,ファイルパス,種別,主要メソッド/機能,テスト優先度,テスト種別,備考
MainActivity,MainActivity.kt,Activity,onCreate・onNewIntent・handlePinShortcut,高,UI,メイン画面
MainViewModel,MainViewModel.kt,ViewModel,navigateTo・placeShortcut・launchShortcut・addRow,高,Unit,ビジネスロジック中核
MainScreenState,MainViewModel.kt,Model,Home・ShortcutAdd・SlotEdit等,中,Unit,画面状態管理
MainViewModelFactory,MainViewModelFactory.kt,Other,create,中,Unit,ViewModelファクトリー
ShortcutRepository,data/ShortcutRepository.kt,Repository,saveShortcut・getAllPlacements・applyDefaultLayout,高,Unit,ショートカット永続化
SettingsRepository,data/SettingsRepository.kt,Repository,tapMode・showConfirmDialog・tapFeedback,中,Unit,設定永続化
MemoRepository,data/MemoRepository.kt,Repository,getMemos・saveMemos・addMemo・deleteMemo,中,Unit,メモ永続化
CalendarRepository,CalendarRepository.kt,Repository,getHolidaysForMonth・getHolidayName,中,Unit,祝日取得
ShortcutItem,data/ShortcutModel.kt,Model,id・type・label・toIntent(),高,Unit,ショートカットデータ
ShortcutPlacement,data/ShortcutModel.kt,Model,shortcutId・row・column,中,Unit,配置情報
HomeLayoutConfig,data/ShortcutModel.kt,Model,rows・findFirstEmptySlot・totalSlots,中,Unit,レイアウト設定
RowConfig,data/ShortcutModel.kt,Model,rowIndex・columns,低,Unit,行設定
TapMode,data/SettingsRepository.kt,Model,SINGLE_TAP・LONG_TAP,低,Unit,タップモードenum
MemoItem,data/MemoModel.kt,Model,id・text・isChecked,中,Unit,メモアイテム
ShortcutHelper,ShortcutHelper.kt,Helper/Util,getInstalledApps・startApp・getAppIcon,高,Unit,ショートカット操作
PermissionManager,PermissionManager.kt,Helper/Util,checkPermissions,高,Unit,権限管理
HomeScreen,ui/screens/HomeScreen.kt,Composable(Screen),ホーム画面表示,高,UI,メインホーム
HomeContent,ui/screens/HomeScreen.kt,Composable(Component),ショートカット行表示,高,UI,ホームコンテンツ
ShortcutButton,ui/screens/HomeScreen.kt,Composable(Component),ボタン表示・タップ処理,高,UI,ショートカットボタン
MemoScreen,ui/screens/MemoScreen.kt,Composable(Screen),メモ帳表示,高,UI,メモ帳画面
CalendarFullScreen,ui/screens/CalendarFullScreen.kt,Composable(Screen),カレンダー表示,中,UI,カレンダー画面
AppSettingsScreen,ui/screens/AppSettingsScreen.kt,Composable(Screen),設定画面表示,中,UI,設定画面
ShortcutAddScreen,ui/screens/ShortcutSelectScreen.kt,Composable(Screen),ショートカット追加,高,UI,追加画面
SlotEditScreen,ui/screens/ShortcutSelectScreen.kt,Composable(Screen),スロット編集,高,UI,編集画面
AddRowDialog,ui/components/AddRowDialog.kt,Composable(Component),行追加ダイアログ,高,UI,行追加
ShortcutConfirmDialog,ui/components/ConfirmDialogs.kt,Composable(Component),実行確認ダイアログ,高,UI,確認ダイアログ
EditModeConfirmDialog,ui/components/ConfirmDialogs.kt,Composable(Component),編集モード確認,中,UI,編集確認
HomeHeader,HomeComponents.kt,Composable(Component),時刻・祝日・編集ボタン,高,UI,ホームヘッダー
ShortcutReceiverActivity,ShortcutReceiverActivity.kt,Activity,外部ショートカット受取,中,UI,ショートカット受取
